timestamp,rssi,location_label
2025-10-05 13:34:18.984553,-78,Front
2025-10-05 13:34:19.055553,-79,Front
2025-10-05 13:34:19.178553,-74,Front
2025-10-05 13:34:19.251553,-87,Noise
2025-10-05 13:34:19.340553,-81,Front
2025-10-05 13:34:19.341553,-81,Front
2025-10-05 13:34:19.441553,-79,Front
2025-10-05 13:34:19.512553,-79,Front
2025-10-05 13:34:19.593553,-81,Front
2025-10-05 13:34:19.767553,-93,Noise
2025-10-05 13:34:19.854553,-79,Front
2025-10-05 13:34:19.892553,-78,Front
2025-10-05 13:34:19.929553,-77,Front
2025-10-05 13:34:19.965553,-77,Front
2025-10-05 13:34:20.081553,-79,Front
2025-10-05 13:34:20.577553,-92,Noise
2025-10-05 13:34:20.624553,-81,Front
2025-10-05 13:34:20.710553,-74,Front
2025-10-05 13:34:20.852553,-72,Front
2025-10-05 13:34:21.017553,-72,Front
2025-10-05 13:34:21.118553,-70,Front
2025-10-05 13:34:21.777553,-81,Front
2025-10-05 13:34:21.779553,-81,Front
2025-10-05 13:34:22.017553,-84,Front
2025-10-05 13:34:22.042553,-78,Front
2025-10-05 13:34:22.104553,-79,Front
2025-10-05 13:34:22.185553,-73,Front
2025-10-05 13:34:22.293553,-81,Front
2025-10-05 13:34:22.348553,-83,Front
2025-10-05 13:34:22.356553,-82,Front
2025-10-05 13:34:22.460553,-71,Front
2025-10-05 13:34:22.479553,-69,Front
2025-10-05 13:34:22.518553,-69,Front
2025-10-05 13:34:22.943553,-70,Front
2025-10-05 13:34:22.944553,-69,Front
2025-10-05 13:34:22.952553,-72,Front
2025-10-05 13:34:23.269553,-71,Front
2025-10-05 13:34:23.270553,-71,Front
2025-10-05 13:34:23.272553,-73,Front
2025-10-05 13:34:23.274553,-74,Front
2025-10-05 13:34:23.276553,-73,Front
2025-10-05 13:34:23.294553,-76,Front
2025-10-05 13:34:23.296553,-76,Front
2025-10-05 13:34:23.298553,-79,Front
2025-10-05 13:34:23.299553,-77,Front
