timestamp,rssi,location_label
2025-10-05 13:30:08.265488,-77,Front
2025-10-05 13:30:08.301488,-74,Front
2025-10-05 13:30:08.336488,-76,Front
2025-10-05 13:30:08.417488,-73,Front
2025-10-05 13:30:08.570488,-67,Front
2025-10-05 13:30:08.574488,-67,Front
2025-10-05 13:30:08.726488,-68,Front
2025-10-05 13:30:08.793488,-82,Front
2025-10-05 13:30:09.181488,-79,Front
2025-10-05 13:30:09.238488,-80,Front
2025-10-05 13:30:09.649488,-76,Front
2025-10-05 13:30:09.724488,-92,Noise
2025-10-05 13:30:09.762488,-68,Front
2025-10-05 13:30:10.030488,-75,Front
2025-10-05 13:30:10.237488,-86,Noise
2025-10-05 13:30:11.040488,-83,Front
2025-10-05 13:30:11.041488,-83,Front
2025-10-05 13:30:11.181488,-80,Front
2025-10-05 13:30:11.204488,-84,Front
2025-10-05 13:30:11.343488,-74,Front
2025-10-05 13:30:11.396488,-71,Front
2025-10-05 13:30:11.884488,-66,Front
2025-10-05 13:30:11.909488,-66,Front
2025-10-05 13:30:11.991488,-92,Noise
2025-10-05 13:30:12.483488,-93,Noise
2025-10-05 13:30:12.484488,-91,Noise
2025-10-05 13:30:13.586488,-81,Front
2025-10-05 13:30:13.643488,-81,Front
2025-10-05 13:30:13.702488,-71,Front
2025-10-05 13:30:13.703488,-71,Front
2025-10-05 13:30:13.758488,-72,Front
2025-10-05 13:30:13.982488,-66,Front
2025-10-05 13:30:13.995488,-66,Front
2025-10-05 13:30:14.396488,-68,Front
2025-10-05 13:30:14.483488,-81,Front
2025-10-05 13:30:14.515488,-90,Noise
2025-10-05 13:30:14.532488,-72,Front
2025-10-05 13:30:14.592488,-67,Front
2025-10-05 13:30:14.637488,-68,Front
2025-10-05 13:30:14.803488,-78,Front
2025-10-05 13:30:15.095488,-67,Front
2025-10-05 13:30:15.150488,-66,Front
2025-10-05 13:30:15.688488,-79,Front
2025-10-05 13:30:15.689488,-79,Front
2025-10-05 13:30:16.051488,-76,Front
2025-10-05 13:30:16.463488,-71,Front
2025-10-05 13:30:16.844488,-81,Front
2025-10-05 13:30:16.908488,-74,Front
2025-10-05 13:30:17.078488,-76,Front
2025-10-05 13:30:17.096488,-70,Front
2025-10-05 13:30:17.146488,-68,Front
2025-10-05 13:30:17.417488,-86,Noise
2025-10-05 13:30:17.478488,-83,Front
2025-10-05 13:30:17.480488,-82,Front
2025-10-05 13:30:18.079488,-81,Front
2025-10-05 13:30:18.230488,-69,Front
2025-10-05 13:30:18.241488,-69,Front
2025-10-05 13:30:19.385488,-70,Front
2025-10-05 13:30:19.399488,-70,Front
2025-10-05 13:30:20.434488,-70,Front
2025-10-05 13:30:20.473488,-70,Front
2025-10-05 13:30:20.534488,-69,Front
2025-10-05 13:30:20.590488,-70,Front
2025-10-05 13:30:20.710488,-74,Front
2025-10-05 13:30:20.731488,-72,Front
2025-10-05 13:30:20.758488,-80,Front
2025-10-05 13:30:20.784488,-79,Front
2025-10-05 13:30:21.527488,-73,Front
2025-10-05 13:30:21.537488,-72,Front
2025-10-05 13:30:21.668488,-59,Middle
2025-10-05 13:30:21.668488,-59,Middle
2025-10-05 13:30:21.689488,-61,Middle
2025-10-05 13:30:21.692488,-59,Middle
2025-10-05 13:30:21.724488,-65,Front
2025-10-05 13:30:21.739488,-65,Front
2025-10-05 13:30:21.865488,-63,Middle
2025-10-05 13:30:21.866488,-62,Middle
