timestamp,rssi,location_label
2025-10-05 13:26:00.139475,-72,Front
2025-10-05 13:26:00.160475,-77,Front
2025-10-05 13:26:00.280475,-82,Front
2025-10-05 13:26:00.679475,-69,Front
2025-10-05 13:26:00.797475,-81,Front
2025-10-05 13:26:03.391475,-84,Front
2025-10-05 13:26:03.429475,-80,Front
2025-10-05 13:26:03.504475,-78,Front
2025-10-05 13:26:03.732475,-86,Noise
2025-10-05 13:26:03.807475,-80,Front
2025-10-05 13:26:03.843475,-80,Front
2025-10-05 13:26:03.886475,-75,Front
2025-10-05 13:26:06.373475,-71,Front
2025-10-05 13:26:06.412475,-72,Front
2025-10-05 13:26:06.448475,-72,Front
2025-10-05 13:26:06.498475,-95,Noise
2025-10-05 13:26:06.785475,-79,Front
2025-10-05 13:26:06.867475,-80,Front
2025-10-05 13:26:06.903475,-81,Front
2025-10-05 13:26:07.122475,-94,Noise
2025-10-05 13:26:07.124475,-94,Noise
2025-10-05 13:26:07.168475,-80,Front
2025-10-05 13:26:07.239475,-81,Front
2025-10-05 13:26:07.321475,-85,Noise
2025-10-05 13:26:07.338475,-68,Front
2025-10-05 13:26:07.352475,-70,Front
2025-10-05 13:26:08.985475,-94,Noise
2025-10-05 13:26:08.986475,-94,Noise
2025-10-05 13:26:08.987475,-94,Noise
2025-10-05 13:26:08.988475,-94,Noise
2025-10-05 13:26:08.989475,-94,Noise
2025-10-05 13:26:08.991475,-93,Noise
2025-10-05 13:26:08.992475,-95,Noise
2025-10-05 13:26:09.278475,-92,Noise
2025-10-05 13:26:09.282475,-93,Noise
2025-10-05 13:26:09.340475,-80,Front
2025-10-05 13:26:09.496475,-63,Middle
2025-10-05 13:26:09.649475,-63,Middle
2025-10-05 13:26:09.660475,-64,Middle
2025-10-05 13:26:09.710475,-79,Front
2025-10-05 13:26:09.710475,-83,Front
2025-10-05 13:26:09.806475,-84,Front
2025-10-05 13:26:09.806475,-85,Noise
2025-10-05 13:26:10.637475,-70,Front
2025-10-05 13:26:10.658475,-72,Front
2025-10-05 13:26:10.702475,-90,Noise
2025-10-05 13:26:10.732475,-73,Front
2025-10-05 13:26:11.896475,-65,Front
2025-10-05 13:26:11.913475,-64,Middle
2025-10-05 13:26:12.045475,-68,Front
2025-10-05 13:26:12.092475,-67,Front
2025-10-05 13:26:12.113475,-68,Front
2025-10-05 13:26:12.146475,-85,Noise
2025-10-05 13:26:12.193475,-86,Noise
2025-10-05 13:26:12.558475,-71,Front
2025-10-05 13:26:12.568475,-70,Front
2025-10-05 13:26:12.769475,-75,Front
2025-10-05 13:26:12.770475,-76,Front
2025-10-05 13:26:13.277475,-80,Front
2025-10-05 13:26:13.279475,-83,Front
2025-10-05 13:26:13.577475,-86,Noise
2025-10-05 13:26:13.697475,-92,Noise
2025-10-05 13:26:13.710475,-65,Front
2025-10-05 13:26:13.768475,-66,Front
2025-10-05 13:26:14.149475,-66,Front
2025-10-05 13:26:14.169475,-64,Middle
2025-10-05 13:26:14.194475,-93,Noise
2025-10-05 13:26:14.246475,-59,Middle
2025-10-05 13:26:14.265475,-60,Middle
2025-10-05 13:26:14.280475,-85,Noise
2025-10-05 13:26:14.397475,-63,Middle
2025-10-05 13:26:14.418475,-63,Middle
2025-10-05 13:26:14.760475,-69,Front
2025-10-05 13:26:14.781475,-69,Front
2025-10-05 13:26:16.346475,-81,Front
2025-10-05 13:26:17.213475,-87,Noise
2025-10-05 13:26:17.487475,-61,Middle
2025-10-05 13:26:17.488475,-62,Middle
2025-10-05 13:26:17.508475,-60,Middle
