timestamp,rssi,location_label
2025-10-05 13:38:26.767631,-74,Front
2025-10-05 13:38:26.863631,-83,Front
2025-10-05 13:38:26.925631,-84,Front
2025-10-05 13:38:26.926631,-84,Front
2025-10-05 13:38:27.143631,-76,Front
2025-10-05 13:38:28.471631,-84,Front
2025-10-05 13:38:28.472631,-85,Noise
2025-10-05 13:38:29.963631,-78,Front
2025-10-05 13:38:30.032631,-77,Front
2025-10-05 13:38:30.196631,-77,Front
2025-10-05 13:38:30.362631,-76,Front
2025-10-05 13:38:30.429631,-78,Front
2025-10-05 13:38:30.434631,-76,Front
2025-10-05 13:38:30.456631,-87,Noise
2025-10-05 13:38:30.480631,-88,Noise
2025-10-05 13:38:30.514631,-80,Front
2025-10-05 13:38:30.552631,-78,Front
2025-10-05 13:38:31.405631,-63,Middle
2025-10-05 13:38:31.440631,-63,Middle
2025-10-05 13:38:31.441631,-64,Middle
2025-10-05 13:38:31.461631,-63,Middle
2025-10-05 13:38:31.463631,-63,Middle
2025-10-05 13:38:31.482631,-64,Middle
2025-10-05 13:38:31.483631,-64,Middle
2025-10-05 13:38:31.529631,-66,Front
2025-10-05 13:38:31.548631,-64,Middle
2025-10-05 13:38:31.638631,-79,Front
2025-10-05 13:38:31.665631,-72,Front
2025-10-05 13:38:31.669631,-74,Front
2025-10-05 13:38:31.674631,-73,Front
2025-10-05 13:38:31.676631,-74,Front
2025-10-05 13:38:31.686631,-71,Front
2025-10-05 13:38:31.687631,-70,Front
2025-10-05 13:38:31.707631,-70,Front
2025-10-05 13:38:31.709631,-70,Front
2025-10-05 13:38:31.730631,-70,Front
2025-10-05 13:38:31.732631,-69,Front
2025-10-05 13:38:32.211631,-80,Front
2025-10-05 13:38:32.212631,-76,Front
2025-10-05 13:38:32.914631,-84,Front
2025-10-05 13:38:32.915631,-85,Noise
2025-10-05 13:38:32.922631,-89,Noise
2025-10-05 13:38:32.923631,-90,Noise
2025-10-05 13:38:32.924631,-91,Noise
2025-10-05 13:38:33.100631,-90,Noise
2025-10-05 13:38:33.110631,-93,Noise
2025-10-05 13:38:33.286631,-77,Front
2025-10-05 13:38:33.753631,-68,Front
2025-10-05 13:38:33.774631,-68,Front
2025-10-05 13:38:34.002631,-95,Noise
2025-10-05 13:38:34.003631,-97,Noise
2025-10-05 13:38:34.020631,-90,Noise
2025-10-05 13:38:34.428631,-75,Front
2025-10-05 13:38:34.673631,-76,Front
2025-10-05 13:38:35.252631,-91,Noise
2025-10-05 13:38:35.276631,-92,Noise
2025-10-05 13:38:35.478631,-86,Noise
2025-10-05 13:38:35.550631,-93,Noise
2025-10-05 13:38:36.677631,-93,Noise
2025-10-05 13:38:37.748631,-89,Noise
2025-10-05 13:38:38.320631,-74,Front
2025-10-05 13:38:38.345631,-76,Front
2025-10-05 13:38:38.452631,-72,Front
2025-10-05 13:38:38.471631,-73,Front
2025-10-05 13:38:38.523631,-78,Front
2025-10-05 13:38:39.590631,-78,Front
2025-10-05 13:38:39.610631,-79,Front
2025-10-05 13:38:39.704631,-71,Front
2025-10-05 13:38:39.889631,-67,Front
2025-10-05 13:38:39.905631,-68,Front
2025-10-05 13:38:39.977631,-59,Middle
2025-10-05 13:38:39.988631,-59,Middle
2025-10-05 13:38:40.590631,-77,Front
2025-10-05 13:38:40.863631,-78,Front
2025-10-05 13:38:40.922631,-71,Front
2025-10-05 13:38:40.933631,-73,Front
2025-10-05 13:38:41.078631,-74,Front
2025-10-05 13:38:41.089631,-73,Front
2025-10-05 13:38:42.644631,-88,Noise
2025-10-05 13:38:43.764631,-78,Front
2025-10-05 13:38:43.879631,-75,Front
2025-10-05 13:38:43.902631,-73,Front
2025-10-05 13:38:45.378631,-67,Front
2025-10-05 13:38:45.587631,-69,Front
2025-10-05 13:38:45.599631,-73,Front
